Date,Sum,New,DON,COVID_WER,SitRep,W_Sit
2/20/20,76216,561,OTHER,NO,Daily,NO
2/21/20,76846,630,OTHER,YES,Daily,NO
2/22/20,78608,1762,OTHER,NO,Daily,NO
2/23/20,78990,382,NO,NO,Daily,NO
2/24/20,79558,568,OTHER,NO,Daily,NO
2/25/20,80412,854,NO,NO,Daily,NO
2/26/20,81384,972,NO,NO,Daily,NO
2/27/20,82728,1344,OTHER,NO,Daily,NO
2/28/20,84152,1424,NO,YES,Daily,NO
2/29/20,86023,1871,NO,NO,Daily,NO
3/1/20,88402,2379,NO,NO,Daily,NO
3/2/20,90382,1980,NO,NO,Daily,NO
3/3/20,92994,2612,NO,NO,Daily,NO
3/4/20,95338,2344,OTHER,NO,Daily,NO
3/5/20,98078,2740,OTHER,NO,Daily,NO
3/6/20,102062,3984,NO,YES,Daily,NO
3/7/20,106199,4137,NO,NO,Daily,NO
3/8/20,109997,3798,NO,NO,Daily,NO
3/9/20,114292,4295,NO,NO,Daily,NO
3/10/20,119051,4759,OTHER,NO,Daily,NO
3/11/20,126527,7476,NO,NO,Daily,NO
3/12/20,133283,6756,OTHER,NO,Daily,NO
3/13/20,146477,13194,NO,YES,Daily,NO
3/14/20,157365,10888,NO,NO,Daily,NO
3/15/20,168598,11233,NO,NO,Daily,NO
3/16/20,183165,14567,NO,NO,Daily,NO
3/17/20,198339,15174,NO,NO,Daily,NO
3/18/20,215900,17561,NO,NO,Daily,NO
3/19/20,242987,27087,OTHER,NO,Daily,NO
